29759,IMINHS,2024-11-01,24,Male,13:17,No,No,No,Yes,No,No
29760,AUSC,2024-11-01,37,Female,10:24,No,No,No,No,Yes,No
29761,PLSL,2024-11-01,20,Female,20:40,No,No,Yes,No,No,No
29762,bsu,2024-11-01,14,Female,14:18,No,Yes,No,No,No,No
29763,LMNHS,2024-11-01,10,Male,11:17,Yes,No,No,No,No,No
29764,PINHS,2024-11-01,18,Male,20:01,No,No,Yes,No,No,No
29765,AUSC,2024-11-01,20,Female,16:39,No,No,No,Yes,No,No
29766,SCMRNIS,2024-11-01,20,Male,8:31,No,No,No,Yes,No,No
29767,LCSNHS,2024-11-01,12,Female,11:56,Yes,No,No,No,No,No
29768,UC,2024-11-01,16,Male,17:34,No,Yes,No,No,No,No
29769,LodlodNHS,2024-11-01,18,Male,14:49,No,No,Yes,No,No,No
29770,Nazareth,2024-11-01,18,Male,19:43,No,No,Yes,No,No,No
29771,bsu,2024-11-01,15,Male,7:32,No,Yes,No,No,No,No
29772,NU Lipa,2024-11-01,15,Male,11:05,No,Yes,No,No,No,No
29773,DMMC,2024-11-01,31,Male,16:22,No,No,No,No,No,Yes
29774,PEJ,2024-11-01,18,Male,15:05,No,No,Yes,No,No,No
29775,CQIS,2024-11-01,22,Female,16:16,No,No,No,Yes,No,No
29776,Philsca,2024-11-01,22,Female,12:33,No,No,No,Yes,No,No
29777,UPD,2024-11-01,12,Male,15:30,Yes,No,No,No,No,No
29778,Philsca,2024-11-01,16,Male,14:37,No,Yes,No,No,No,No
29779,Bugtong,2024-11-01,21,Female,20:23,No,No,No,Yes,No,No
29780,PEJ,2024-11-01,33,Female,14:33,No,No,No,No,No,Yes
29781,bsu,2024-11-01,11,Male,15:55,Yes,No,No,No,No,No
29782,LNCHS,2024-11-01,27,Female,15:24,No,No,No,No,No,Yes
29783,AICS,2024-11-01,20,Male,8:14,No,No,Yes,No,No,No
29784,PHILSCA,2024-11-01,18,Female,20:37,No,No,Yes,No,No,No
29785,UC,2024-11-01,20,Female,18:34,No,No,Yes,No,No,No
29786,STI,2024-11-01,12,Male,16:04,Yes,No,No,No,No,No
29787,TMKMS,2024-11-01,18,Female,14:11,No,No,Yes,No,No,No
29788,TMA,2024-11-01,14,Female,9:41,No,Yes,No,No,No,No
29789,bsu,2024-11-01,11,Male,17:14,Yes,No,No,No,No,No
29790,PEJ,2024-11-01,26,Female,14:06,No,No,No,No,No,Yes
29791,NU,2024-11-01,18,Male,17:35,No,No,Yes,No,No,No
29792,ICT-ED,2024-11-01,31,Male,17:43,No,No,No,No,Yes,No
29793,UPD,2024-11-01,20,Female,16:01,No,No,No,Yes,No,No
29794,STI,2024-11-01,24,Female,20:50,No,No,No,Yes,No,No
29795,LodlodNHS,2024-11-01,19,Female,11:30,No,No,Yes,No,No,No
29796,Bugtong,2024-11-01,19,Male,20:50,No,No,Yes,No,No,No
29797,LodlodNHS,2024-11-01,10,Male,13:02,Yes,No,No,No,No,No
29798,TLGA,2024-11-01,24,Male,17:47,No,No,No,Yes,No,No
29799,PLM,2024-11-01,19,Female,17:40,No,No,Yes,No,No,No
29800,RBC,2024-11-01,23,Male,11:03,No,No,No,Yes,No,No
29801,NU,2024-11-01,19,Male,7:50,No,No,Yes,No,No,No
29802,LMNHS,2024-11-01,16,Female,11:06,No,Yes,No,No,No,No
29803,MNHS,2024-11-01,15,Female,19:01,No,Yes,No,No,No,No
29804,Nazareth,2024-11-02,12,Male,16:02,Yes,No,No,No,No,No
29805,GB,2024-11-02,24,Male,11:46,No,No,No,Yes,No,No
29806,TML,2024-11-02,18,Female,17:38,No,No,Yes,No,No,No
29807,PLNHS,2024-11-02,22,Female,16:24,No,No,No,Yes,No,No
29808,PINHS,2024-11-02,24,Female,14:00,No,No,No,Yes,No,No
29809,BNPINHS,2024-11-02,14,Female,12:55,No,Yes,No,No,No,No
29810,PINHS,2024-11-02,11,Female,15:42,Yes,No,No,No,No,No
29811,UPLS,2024-11-02,20,Male,11:13,No,No,Yes,No,No,No
29812,LCSNHS,2024-11-02,19,Male,11:20,No,No,Yes,No,No,No
29813,National,2024-11-02,20,Female,8:42,No,No,No,Yes,No,No
29814,PLSL,2024-11-02,12,Female,9:03,Yes,No,No,No,No,No
29815,Nazareth,2024-11-02,20,Male,20:45,No,No,Yes,No,No,No
29816,LNCHS,2024-11-02,21,Male,14:18,No,No,No,Yes,No,No
29817,PUP-STB,2024-11-02,21,Female,15:50,No,No,No,Yes,No,No
29818,LodlodNHS,2024-11-02,12,Female,13:45,Yes,No,No,No,No,No
29819,Tambo,2024-11-02,17,Female,19:40,No,Yes,No,No,No,No
29820,DMMC,2024-11-02,17,Female,16:04,No,Yes,No,No,No,No
29821,LCSHS,2024-11-02,13,Male,8:25,No,Yes,No,No,No,No
29822,BNPINHS,2024-11-02,11,Female,18:07,Yes,No,No,No,No,No
29823,TML,2024-11-02,20,Male,19:30,No,No,No,Yes,No,No
29824,NTC,2024-11-02,12,Female,15:11,Yes,No,No,No,No,No
29825,UPLB,2024-11-02,12,Female,7:21,Yes,No,No,No,No,No
29826,LPM,2024-11-02,19,Male,20:21,No,No,Yes,No,No,No
29827,TMKMS,2024-11-02,10,Male,11:57,Yes,No,No,No,No,No
29828,CSB,2024-11-02,10,Female,11:50,Yes,No,No,No,No,No
29829,STI,2024-11-02,20,Female,13:28,No,No,Yes,No,No,No
29830,NTC,2024-11-02,16,Male,19:37,No,Yes,No,No,No,No
29831,BINHS,2024-11-02,31,Female,18:22,No,No,No,No,No,Yes
29832,Mabini,2024-11-02,10,Male,17:08,Yes,No,No,No,No,No
29833,FAITH,2024-11-02,10,Female,17:32,Yes,No,No,No,No,No
29834,LHS,2024-11-02,22,Female,11:04,No,No,No,Yes,No,No
29835,kLL,2024-11-02,19,Female,19:29,No,No,Yes,No,No,No
29836,GB,2024-11-02,22,Male,8:58,No,No,No,Yes,No,No
29837,LCNHS,2024-11-02,17,Male,20:12,No,Yes,No,No,No,No
29838,UPLS,2024-11-02,18,Female,12:05,No,No,Yes,No,No,No
29839,BNPINHS,2024-11-02,14,Male,13:06,No,Yes,No,No,No,No
29840,LPM,2024-11-02,20,Male,10:47,No,No,Yes,No,No,No
29841,UB,2024-11-02,22,Female,15:33,No,No,No,Yes,No,No
29842,LCC,2024-11-02,11,Female,8:06,Yes,No,No,No,No,No
29843,FABINHS,2024-11-02,36,Female,20:07,No,No,No,No,Yes,No
29844,AUSL,2024-11-02,17,Male,17:09,No,Yes,No,No,No,No
29845,UST,2024-11-02,21,Female,9:21,No,No,No,Yes,No,No
29846,PLM,2024-11-02,19,Female,20:07,No,No,Yes,No,No,No
29847,IMINHS,2024-11-02,20,Male,19:01,No,No,Yes,No,No,No
29848,DMMC,2024-11-02,16,Male,18:12,No,Yes,No,No,No,No
29849,Philsca,2024-11-02,26,Male,8:33,No,No,No,No,No,Yes
29850,PHILSCA,2024-11-02,28,Female,7:57,No,No,No,No,No,Yes
29851,UC,2024-11-02,15,Male,20:31,No,Yes,No,No,No,No
29852,National,2024-11-03,24,Male,12:08,No,No,No,Yes,No,No
29853,UPLB,2024-11-03,10,Female,8:15,Yes,No,No,No,No,No
29854,Bugtong,2024-11-03,20,Female,20:31,No,No,No,Yes,No,No
29855,BNPINHS,2024-11-03,12,Male,20:05,Yes,No,No,No,No,No
29856,UST,2024-11-03,18,Female,17:02,No,No,Yes,No,No,No
29857,UBLC,2024-11-03,20,Male,14:17,No,No,No,Yes,No,No
29858,CSB,2024-11-03,15,Female,13:33,No,Yes,No,No,No,No
29859,LNCHS,2024-11-03,17,Female,15:31,No,Yes,No,No,No,No
