26969,IMINHS,2024-11-01,24,Male,13:17,No,No,No,Yes,No,No
26970,AUSC,2024-11-01,37,Female,10:24,No,No,No,No,Yes,No
26971,PLSL,2024-11-01,20,Female,20:40,No,No,Yes,No,No,No
26972,bsu,2024-11-01,14,Female,14:18,No,Yes,No,No,No,No
26973,LMNHS,2024-11-01,10,Male,11:17,Yes,No,No,No,No,No
26974,PINHS,2024-11-01,18,Male,20:01,No,No,Yes,No,No,No
26975,AUSC,2024-11-01,20,Female,16:39,No,No,No,Yes,No,No
26976,SCMRNIS,2024-11-01,20,Male,8:31,No,No,No,Yes,No,No
26977,LCSNHS,2024-11-01,12,Female,11:56,Yes,No,No,No,No,No
26978,UC,2024-11-01,16,Male,17:34,No,Yes,No,No,No,No
26979,LodlodNHS,2024-11-01,18,Male,14:49,No,No,Yes,No,No,No
26980,Nazareth,2024-11-01,18,Male,19:43,No,No,Yes,No,No,No
26981,bsu,2024-11-01,15,Male,7:32,No,Yes,No,No,No,No
26982,NU Lipa,2024-11-01,15,Male,11:05,No,Yes,No,No,No,No
26983,DMMC,2024-11-01,31,Male,16:22,No,No,No,No,No,Yes
26984,PEJ,2024-11-01,18,Male,15:05,No,No,Yes,No,No,No
26985,CQIS,2024-11-01,22,Female,16:16,No,No,No,Yes,No,No
26986,Philsca,2024-11-01,22,Female,12:33,No,No,No,Yes,No,No
26987,UPD,2024-11-01,12,Male,15:30,Yes,No,No,No,No,No
26988,Philsca,2024-11-01,16,Male,14:37,No,Yes,No,No,No,No
26989,Bugtong,2024-11-01,21,Female,20:23,No,No,No,Yes,No,No
26990,PEJ,2024-11-01,33,Female,14:33,No,No,No,No,No,Yes
26991,bsu,2024-11-01,11,Male,15:55,Yes,No,No,No,No,No
26992,LNCHS,2024-11-01,27,Female,15:24,No,No,No,No,No,Yes
26993,AICS,2024-11-01,20,Male,8:14,No,No,Yes,No,No,No
26994,PHILSCA,2024-11-01,18,Female,20:37,No,No,Yes,No,No,No
26995,UC,2024-11-01,20,Female,18:34,No,No,Yes,No,No,No
26996,STI,2024-11-01,12,Male,16:04,Yes,No,No,No,No,No
26997,TMKMS,2024-11-01,18,Female,14:11,No,No,Yes,No,No,No
26998,TMA,2024-11-01,14,Female,9:41,No,Yes,No,No,No,No
26999,bsu,2024-11-01,11,Male,17:14,Yes,No,No,No,No,No
27000,PEJ,2024-11-01,26,Female,14:06,No,No,No,No,No,Yes
27001,NU,2024-11-01,18,Male,17:35,No,No,Yes,No,No,No
27002,ICT-ED,2024-11-01,31,Male,17:43,No,No,No,No,Yes,No
27003,UPD,2024-11-01,20,Female,16:01,No,No,No,Yes,No,No
27004,STI,2024-11-01,24,Female,20:50,No,No,No,Yes,No,No
